"LOCATION_OFFICE","COMPANY_CD","COMPANY_NAME","COMPANY_TYPE","BRAND_NAME","PART_NO","PART_DESCRIPTION","GOOD_STOCK","DEFECTIVE_STOCK","ENGG_GOOD_STOCK","ENGG_DEFECTIVE_STOCK","TOTAL_GOOD_STOCK","TOTAL_DEFECTIVE_STOCK","CUSTOMER_CODE","DIVISION_NAME",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25407022048'","PAINTED AL.B/C 48"" AERO BLDC SLIM CARMEL","0","0","2","0","2","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25407036248'","PAINTED AL.B/C 48"" KIARA COCOA GOLD","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25407036448'","PAINTED AL.B/C 48"" KIARA PMW 18/112/E","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25407018348'","PAINTED AL.B/C AERO.BLDC FAN CARAMEL BR","0","0","2","0","2","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25405036248'","PAINTED AL.T/C 48"" KIARA COCOA GOLD","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25405036448'","PAINTED AL.T/C 48"" KIARA PMW 18/114/E","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25405018348'","PAINTED AL.T/C AERO.BLDC FAN CARAMEL BR","0","0","2","0","2","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25406100648'","PAINTED S/M T/C (1 MM) 48"" N/A & N/H SG","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24181250301'","PB SWITCH PUSH FIT W BLUE KNOB F DESK 25","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160010083'","PCB 48"" AEROQUIET BLDC SLIM MG BO","0","0","1","0","1","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160000015'","PCB ASSEMBLY FOR ORIENT SPECTRA FAN","0","1","0","0","0","1","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160010134'","PCB ASSEMBLY ORIENT SPECTRA FAN WITH 3L","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160010036'","PCB ASSY 48"" I TOME WITH REGULATOR IMP","0","0","0","1","0","1","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160040005'","PCB ASSY 48""HECTOR WITH REGULATOR IMP","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24160010178'","PCB ASSY 48''AEROQUIET BLDC REMOTE(IR)","0","0","1","0","1","0","8201043","Fans",
